Glehniae Radix,Roots and rhizomes,The dried root of Glehnia littoralis Fr. Schmidt ex Miq. (Apiaceae).,"Primarily produced in Chinese provinces of Shandong, Jiangsu, Hebei, Liaoning.","Sweet, slightly bitter; slightly cold.","Nourishes yin, clears the lung, boosts the stomach, and engenders fluid. Apply to lung heat and dry-cough, pulmondeficiency due to long term cough with blood, hydrodipsia due to heat and fluid-damage.",https://sys01.lib.hkbu.edu.hk/cmed/mmid/images/eB00004.jpg,Tonifying Medicinals
Ophiopogonis Radix,Roots and rhizomes,The dried tuberous root of Ophiopogon japonicas (Thunb.) Ker-Gawl.(Liliaceae),"Primarily produced in the Chinese provinces of Sichuan, Zhejiang.","Sweet, slightly bitter; cool","Nourishes yin, engenders fluid, moistens lung, stops cough, clear heart, eliminates vexation. Apply to damage of body fluid due to heat disease, vexation, thirst, dry throat due to lung heat, cough, and tuberculosis.",https://sys01.lib.hkbu.edu.hk/cmed/mmid/images/eB00084.jpg,Tonifying Medicinals
Angelicae Sinensis Radix,Roots and rhizomes,The dried root of Angelica sinensis (Oliv.) Diels (Apiaceae).,"Primarily produced in the Chinese provinces of Gansu, Yunnan, Qinghai.","Sweet, acrid; warm.","Supplements the blood, invigorates the blood, regulates menstruation, relieves pain, moistens the intestines, frees the stool. Apply to chlorosis due to hemopenia, vertigo and palpitation, irregular menstrual periods, amenorrhea and painful menstruation, deficiency cold abdominalgia, constipation induced by dryness of the intestine, rheumatic arthralgia, injuries from falls, superficial infection and burns and scalds.",https://sys01.lib.hkbu.edu.hk/cmed/mmid/images/eB00049.jpg,Tonifying Medicinals
Rehmanniae Radix,Roots and rhizomes,The fresh or dried tuberous rhizome of Rehmannia glutinosa Libosch.(Scrophulariabeae),"Primarily produced in the Chinese provinces of Shandong, Shanxi, Henan, Hebei.","Xian di huang: sweet, bitter; cold. Sheng di huang: sweet, cold. Shu di huang: sweet, slightly warm.","Xian di huang: Clears heat, engenders fluids, cools blood, stops bleeding. Sheng di haung: clears heat, cools blood, nourishes yin, and engenders fluids. Shu di huang: nourishes yin, supplements bloods, boosts essence, and fills the marrow. Apply to yin deficiency and hectic fever, diabetes, hematemesis, non-traumatic hemorrhage, metrorrhagia, irregular menstruation, threatened miscarriage, diarrhea due to yin damage.",https://sys01.lib.hkbu.edu.hk/cmed/mmid/images/eB00050.jpg,Heat-clearing Medicinals
Lycii Fructus,Fruits and seeds,The dried mature fruit of Lycium barbarum L.(Solanaceae),"Primarily produced in the Chinese provinces of Gansu, Ningxia, Xinjiang, Inner Mongolia, Qinghai.",Sweet; neutral,"Supplements the liver and kidney, boosts essence and brightens the eyes.",https://sys01.lib.hkbu.edu.hk/cmed/mmid/images/eB00227.jpg,Tonifying Medicinals
Toosendan Fructus,Fruits and seeds,The dried mature fruit of Melia toosendan Sieb. et Zucc.(Meliaceae).,"Primarily produced in Chinese provinces of Sichuan, Gansu, Hubei, Guizhou, Yunnan.",Bitter; cold; slightly toxic.,"Soothes the liver, moves qi, relieves pain, expels worms. Apply to swelling pain of chest and abdomen, hernia pain, enterozoic abdominalgia.",https://sys01.lib.hkbu.edu.hk/cmed/mmid/images/eB00242.jpg,Qi-regulating Medicinals
Ginseng Radix et Rhizoma Rubra,Roots and rhizomes,The dried root and rhizome of Panax ginseng C. A. Mey.(Araliaceae),Primarily produced in northeastern China and the Korean peninsula.,"Sweet, slightly bitter; warm.","Greatly supplements original qi, secures desertion, engenders fluid, calms spirit. Apply to injury due to exhaustion, lack of food intake, lassitude, nausea and vomiting, loose of stools, cough due to deficiency and panting, sweating and acute prostration, palpitate with fear, amnesia, dizziness and headache, impotence, frequent urination, diabetes, metrorrhagia and metrostaxis, infantile convulsions, discovery of chronicly deficiency, and all the diseases of deficiency of qi and blood and fluid.",https://sys01.lib.hkbu.edu.hk/cmed/mmid/images/eB00069.jpg,Tonifying Medicinals
Ginseng Radix et Rhizoma,Roots and rhizomes,The dried root and rhizome of Panax ginseng C. A. Mey.(Araliaceae) (cultivated).,"Primarily produced in the Chinese provinces of Jilin, Liaoning, Heilongjiang.","Neutral; sweet and slightly bitter taste, slightly warm.","Greatly supplements original qi, restores the pulse, secures desertion, supplements the spleen, benefits the lung, engenders body fluids, stops thirst, quiets the spirit, promotes intelligence. Apply to complete exhaustion due to physical weakness, cold limbs and weak pulse, poor appetite due to splenic deficiency, coughing with asthma due to pulmondeficiency, hydrodipsia due to depletion of body fluids, feverish dysphoria and diabetes, deficiency and weakness due to invalidism, palpitation and insomnia, impotence and uterus cold, cardiac failure, cardiogenic shock.",https://sys01.lib.hkbu.edu.hk/cmed/mmid/images/eB00002.jpg,Tonifying Medicinals
Farfarae Flos,Flowers,The dried flower bud of Tussilago farfara L.(Asteraceae).,"Primarily produced in the Chinese provinces of Gansu, Shaanxi, Shanxi, Henan.","Acrid, slightly bitter; warm","Transforms phlegm, stops cough, downbears qi, moistens the lung, stops vomiting. Apply to cough, panting, tuberculosis, cough with bloody phlegm.",https://sys01.lib.hkbu.edu.hk/cmed/mmid/images/eB00307.jpg,"Phlegm-transforming, Cough-relieving, and Asthma-relieving Medicinals"
Mori Cortex,Tree barks and root barks,The dried root bark of Morus alba L.(Moraceae),"Primarily produced in the Chinese provinces of Zhejiang, Jiangsu, Anhui, Hunan, Sichuan.","Sweet, cold","Drains lung, calms panting, promotes urination, eliminates swelling. Apply to cough due to lung heat, facial edema, difficulty in micturition.",https://sys01.lib.hkbu.edu.hk/cmed/mmid/images/eB00352.jpg,"Phlegm-transforming, Cough-relieving, and Asthma-relieving Medicinals"
