北沙参,根及根茎类,伞形科植物珊瑚菜Glehnia littoralis Fr. Schmidt ex Miq.的干燥根。,主产于山东、江苏、河北、辽宁等地。,甘，微苦，微寒。,养阴清肺，益胃生津。用于肺热燥咳、劳嗽痰血、热病津伤口渴。,https://sys01.lib.hkbu.edu.hk/cmed/mmid/images/B00004.jpg,补虚药
麦冬,根及根茎类,百合科植物麦冬Ophiopogon japonicus (Thunb.) Ker-Gawl.的干燥块根。,主产四川、浙江。,甘、微苦，凉。,滋阴生津、润肺止咳、清心除烦。主治热病伤津、心烦、口渴、咽干肺热、咳嗽、肺结核。,https://sys01.lib.hkbu.edu.hk/cmed/mmid/images/B00084.jpg,补虚药
当归,根及根茎类,伞形科植物当归Angelica sinensis (Oliv.) Diels 的干燥根。,主产甘肃、云南、青海等地。,甘、辛，温。,补血活血，调经止痛，润肠通便。用于血虚萎黄、眩晕心悸、月经不调、经闭痛经、虚寒腹痛、肠燥便秘、风湿痹痛、跌扑损伤、痈疽疮疡。,https://sys01.lib.hkbu.edu.hk/cmed/mmid/images/B00049.jpg,补虚药
地黄,根及根茎类,玄参科植物地黄Rehmannia glutinosa Libosch. 的新鲜或干燥块根。,主产山东、山西、河南、河北等地。,鲜地黄：甘、苦，寒。生地黄：甘，寒。熟地黄：甘，微温。,鲜地黄清热生津凉血止血；生地黄清热凉血，养阴生津；熟地黄滋阴补血，益精填髓。可用于阴虚发热，消渴，吐血，衄血，血崩，月经不调，胎动不安，阴伤便秘等症。,https://sys01.lib.hkbu.edu.hk/cmed/mmid/images/B00050.jpg,清热药
枸杞子,果实及种子类,茄科植物宁夏枸杞Lycium barbarum L. 的干燥成熟果实。,主产于甘肃、宁夏、新疆、内蒙古、青海等地。,甘，平。,滋补肝肾，益精明目。,https://sys01.lib.hkbu.edu.hk/cmed/mmid/images/B00227.jpg,补虚药
川楝子,果实及种子类,楝科植物川楝Melia toosendan Sieb. et Zucc.的干燥成熟果实。,主产四川、甘肃、湖北、贵州和云南等地。,苦，寒，有小毒。,舒肝行气止痛，驱虫。用于胸胁、脘腹胀痛，疝痛，虫积腹痛。,https://sys01.lib.hkbu.edu.hk/cmed/mmid/images/B00242.jpg,理气药
红参,根及根茎类,五加科植物人参Panax ginseng C. A. Mey.的干燥根及根茎。,主产东北地区以及朝鲜半岛。,甘、微苦，温。,大补元气，固脱生津，安神。治劳伤虚损，食少，倦怠，反胃吐食，大便滑泄，虚咳喘促，自汗暴脱，惊悸，健忘，眩晕头痛，阳痿，尿频，消渴，妇女崩漏，小儿慢惊，及久虚不复，一切气血津液不足之证。,https://sys01.lib.hkbu.edu.hk/cmed/mmid/images/B00069.jpg,补虚药
人参,根及根茎类,五加科植物人参Panax ginseng C. A. Mey.的干燥根 (栽培品) 。,主产于吉林、辽宁、黑龙江等地。,平、味甘、微苦，微温。,大补元气，复脉固脱，补脾益肺，生津止渴，安神益智。用于体虚欲脱，肢冷脉微，脾虚食少，肺虚喘咳，津伤口渴，内热消渴，久病虚赢，惊悸失眠，阳痿宫冷；心力衰竭，心原性休克。,https://sys01.lib.hkbu.edu.hk/cmed/mmid/images/B00002.jpg,补虚药
款冬花,花类,菊科植物款冬Tussilago farfara L.的干燥花蕾。,主产甘肃、陕西、山西、河南等地。,辛、微苦，温。,化痰止咳，镇咳下气，润肺祛痰，降逆止呕。主治咳嗽，气喘，肺痿，咳吐痰血等症。,https://sys01.lib.hkbu.edu.hk/cmed/mmid/images/B00307.jpg,化痰止咳平喘药
桑白皮,皮类,桑科植物桑Morus alba L.的干燥根皮。,主产浙江、江苏、安徽、湖南、四川等地。,甘，寒。,泻肺平喘，利水消肿。用于肺热咳喘，面目浮肿，小便不利等症。,https://sys01.lib.hkbu.edu.hk/cmed/mmid/images/B00352.jpg,化痰止咳平喘药
桑枝,藤木类,桑科植物桑Morus alba L.的干燥嫩枝。,主产安徽、江苏、浙江、湖南、四川等地。,苦，平。,祛风湿，利关节，行水气。主治风寒湿痹，四肢拘挛，脚气浮肿，肌体风痒。,https://sys01.lib.hkbu.edu.hk/cmed/mmid/images/B00146.jpg,祛风湿药
