Effective Integration Decoction,Glehniae Radix; Ophiopogonis Radix; Angelicae Sinensis Radix; Rehmanniae Radix; Lycii Fructus; Toosendan Fructus,Enriches yin and soothes the liver.,"Yi Guan Jian is appropriate for patterns of liver-kidney yin deficiency with liver qi constraint characterized by pain in the chest, abdomen, and hypochondriac regions, acid regurgitation, bitter taste, dry mouth and throat, a dry, red tongue, and a thready, weak or weak, wiry pulse. This formula is also applied for shan qi (hernia)."
Nine Immortals Powder,Ginseng Radix et Rhizoma; Farfarae Flos; Mori Cortex; Platycodonis Radix; Schisandrae Chinensis Fructus; Asini Corii Colla; Mume Fructus; Fritillariae Cirrhosae Bulbus; Papaveris Pericarpium,"Astringes the lung, relieves cough, boosts qi and nourishes yin.","Jiu Xian San is designed for a pattern of chronic cough caused by lung deficiency. The main symptoms include a chronic, unremitting cough that may be accompanied by labored breathing in severe cases, spontaneous sweating, scanty, sticky phlegm, and a deficient, rapid pulse."
Nine Ingredients Notopterygium Decoction,Notopterygii Rhizoma et Radix; Saposhnikoviae Radix; Atractylodis Rhizoma; Asari Radix et Rhizoma; Chuanxiong Rhizoma; Angelicae Dahuricae Radix; Rehmanniae Radix; Scutellariae Radix; Glycyrrhizae Radix et Rhizoma,"Induces sweating, expels dampness, and clears internal heat.","Jiu Wei Qiang Huo Tang is indicated for an exterior pattern with externally contracted wind-cold-dampness complicated by interior heat. The symptoms are aversion to cold, fever, absence of sweating, headache, painful stiff nape, pain and soreness of the limbs and body, bitter taste, and thirst. The tongue coating is white or light yellow, and the pulse is superficial or superficial and tight."
Two Mysterious Powder,Phellodendri Chinensis Cortex; Atractylodis Rhizoma,Clears heat and dries dampness.,"Er Miao San is indicated for damp-heat pouring downward. The symptoms are pain of the sinews and bone, flaccidity of feet, swelling and pain of feet and knee, vaginal discharge, eczema, sores on the lower body, and scanty dark urine. The tongue coating is yellow and greasy."
Two Matured Substances Decoction,Pinelliae Rhizoma; Poria; Citri Expocarpium Rubrum; Glycyrrhizae Radix et Rhizoma,"Dries dampness and dissolves phlegm, rectifies qi, and harmonizes the center.","Er Chen Tang is indicated for damp-phlegm patterns .The symptoms are cough with profuse white phlegm that is easy to be expectorated, nausea and vomiting, chest stuffiness, fatigue and heavy feelings of the body or limbs, vertigo and palpitation. The tongue coating is glossy white or white and greasy, and the pulse is slippery."
Eight Corrections Powder,Plantaginis Semen; Dianthi Herba; Citri Expocarpium Rubrum; Talcum; Gardeniae Fructus; Glycyrrhizae Radix et Rhizoma; Akebiae Caulis; Rhei Radix et Rhizoma,"Clears heat and subdues fire, promotes urination, and relieves strangury.","Ba Zheng San is indicated for damp-heat strangury. The symptoms are frequent urgent urination, odynuria, dribbling urination, dark yellow urine, retention of urine in severe cases, cramps and fullness of abdomen, and a dry mouth and throat. The coating is yellow and greasy and the pulse is slippery and rapid."
Eight-Gem Decoction,Ginseng Radix et Rhizoma; Atractylodis Macrocephalae Rhizoma; Poria; Angelicae Sinensis Radix; Chuanxiong Rhizoma; Paeoniae Radix Alba; Rehmanniae Radix; Glycyrrhizae Radix et Rhizoma,Boosts qi and supplements blood.,"Ba Zhen Tang is intended for a syndrome of qi and blood deficiency marked by pale or withered-yellow complexion, dizziness, auditory vertigo, lassitude of the four limbs, shortness of breath, reluctance to speak, palpitations, and decreased food intake. The tongue is pale with a thin, white coating and the pulse is thready, weak or deficient, big, and weak."
Ten Charred Substances Powder,Cirsii Japonici Herba; Cirsii Herba; Nelumbinis Folium; Platycladi Cacumen; Imperatae Rhizoma; Rubiae Radix et Rhizoma; Gardeniae Fructus; Rhei Radix et Rhizoma; Moutan Cortex; Trachycarpi Petiolus,Cools blood and stanches bleeding.,"Shi Hui San is indicated for hemorrhages due to blood heat. Examples include vomiting of blood, spitting of blood, expectoration of blood, coughing of blood, nosebleed. If the color of the blood is bright red, the situation is acute and severe. The tongue body is red and the pulse is rapid."
Ten Jujubes Decoction,Genkwa Flos; Kansui Radix; Euphorbiae Pekinensis Radix,Expels water by purgation.,"This formula is used for pleural rheum with chest and hypochondriac radiating pain caused by coughing and spitting. There is also hardness and distention below the heart, belching, shortness of breath, headache, dizziness, pulling pain resulting in breathlessness, a slippery tongue coating, and a deep and wiry pulse. It is also indicated for edema all over the body, especially in the lower half of the body, with abdominal distention, panting, and difficult defecation and urination."
Three-Seed Filial Devotion Decoction,Perillae Fructus; Brassicae Junceae Semen; Raphani Semen,"Directs qi downward and smoothes diaphragm, dissolves phlegm and promotes digestion.","San Zi Yang Qin Tang is applicable to patients with phlegm congestion, counterflow qi, and food stagnation. The symptoms include coughing with labored breathing, copious phlegm, chest obstruction, less food intake, difficulty with digestion. The tongue coating is white and greasy and the pulse is slippery."
